date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-09-18 19:59:19,160.0,16.0,4722.5,0,0,0,0,0,0,0,0,0,0,38.37,0,0,0,0,0,0,0,60.29,0,29.34,21.61,22.12,0,0,21.61,34.32,0,0,0,6.64,0,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-21 19:08:10,60.0,7.0,4630.0,0,0,0,0,0,0,0,0,108.75,0,0,0,0,113.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-23 21:34:00,134.0,11.0,11120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.63,55.81,119.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-24 00:17:00,158.0,19.0,7450.0,0,0,0,0,0,0,0,0,70.61,0,20.93,0,51.76,92.61,0,0,0,0,0,0,16.17,13.59,0,0,0,0,0,0,0,0,0,0,0,164.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26 15:54:00,168.0,24.0,6240.0,0,0,47.08,0,0,0,0,0,0,0,17.22,0,0,88.27,0,0,0,0,0,0,0,15.07,0,0,0,0,0,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-04 18:30:00,62.0,8.0,3610.0,0,0,0,0,0,0,0,0,77.63,0,0,0,0,98.78,0,0,0,0,0,0,0,21.1,20.09,0,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-05 19:48:00,109.0,12.0,4580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.41,0,0,0,0,52.96,0,0,0,0,0,0,0,0,0,0,0,0,0,39.13,0,129.39,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-12 19:24:46,107.0,8.0,6320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.57,0,0,0,0,0,0,0,0,0,0,0,0,0,83.72,41.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-13 20:57:00,170.0,20.0,5950.0,0,0,77.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.39,0,25.28,21.1,22.64,0,0,22.12,0,0,0,0,0,0,34.43,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-17 18:50:57,73.0,10.0,4893.0,0,0,86.44,34.76,108.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-17 22:39:25,141.0,14.0,9725.0,0,0,94.88,0,0,0,0,0,120.52,0,0,0,0,0,0,77.63,70.88,129.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
