date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-10-17 18:50:57,73.0,10.0,4893.0,0,0,2260.0,612.5,1408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-17 22:39:25,141.0,14.0,9725.0,0,0,1000.0,0,0,0,0,0,1925.0,0,0,0,0,0,0,1800.0,1800.0,3200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-22 15:49:53,148.0,11.0,8315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,705.0,3360.0,1425.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-23 19:55:27,134.0,15.0,4255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115.0,0,515.0,220.0,0,0,0,100.0,0,0,0,0,200.0,0,510.0,0,0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-25 18:44:00,119.5,15.0,7619.0,0,0,3225.0,745.0,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30 20:56:23,96.0,12.0,5980.0,0,0,2355.0,822.5,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-07 18:14:00,54.0,7.0,3900.0,0,0,1700.0,0,0,0,0,0,0,0,0,0,0,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-09 20:55:00,187.5,16.0,4902.5,0,0,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,940.0,0,537.5,122.5,0,0,0,350.0,0,0,0,0,175.0,0,350.0,0,0,540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-14 13:50:00,120.5,11.0,7392.5,0,0,3232.5,0,0,0,0,0,0,0,0,0,0,2240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-20 20:55:00,228.0,21.0,6695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570.0,0,650.0,220.0,0,0,0,100.0,825.0,0,0,0,100.0,0,1110.0,0,0,525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
